#timestamp x y z q_x q_y q_z q_w
228.011637 0.009141104521031 -0.010533093643970 -0.022445573658432 0.000104667025025 -0.002621315874461 -0.000167554098989 0.999996544830795
228.998017 0.007677478315237 -0.014312279446547 -0.023440848823488 -0.000498977851080 -0.001754285645912 -0.000374666035657 0.999998266562669
229.999354 0.004080829830151 -0.014457221894881 -0.019067593457328 0.000155239973733 -0.001988636446462 -0.000240087232469 0.999997981789843
230.998397 0.006611156533150 -0.017317966528829 -0.021446413386400 0.000350120312250 -0.001754579202350 -0.000365400872703 0.999998332673507
231.993251 0.007474146273306 -0.021611341483187 -0.020541204722897 0.000543221519258 -0.002051862164101 -0.000270081537518 0.999997710911383
233.012182 0.008879829302212 -0.019541784063549 -0.021071052752870 0.000441583674970 -0.001820527032527 -0.000245931596750 0.999998215099823
234.000334 0.010251219044500 -0.019376165903263 -0.020370913050958 0.000691265141384 -0.002061773166388 -0.000147024829650 0.999997624810987
234.999433 0.009256063321207 -0.022543362242261 -0.020507098403616 0.000619565776521 -0.001898069744634 -0.000165504316131 0.999997993036894
235.991009 0.007378893494607 -0.023205331872972 -0.020307323361985 0.000681396406558 -0.001735728358803 -0.000191733165143 0.999998243090654
236.998457 0.007907118216384 -0.021350726737982 -0.022660465187654 0.000630741658235 -0.001974154165037 -0.000185316889426 0.999997835266628
237.991734 0.011744665129957 -0.020734929483291 -0.022130425353662 0.000537502354058 -0.001921799855998 -0.000202487904621 0.999997988385566
238.999139 0.008529430319153 -0.020156894057131 -0.018463586303876 0.000830918364928 -0.001784287760008 -0.000258635324276 0.999998029497871
240.011613 0.009969026058660 -0.022848112429652 -0.021130602551973 0.000601826542446 -0.001742998402796 -0.000195221762153 0.999998280823441
241.011091 0.010514352608119 -0.023236916570178 -0.020817365492435 0.000530910983589 -0.001705167784735 -0.000241696867660 0.999998376058166
242.005002 0.007918604606931 -0.029759942472927 -0.020378776091341 0.000629733450716 -0.001672255232857 -0.000210207627148 0.999998381404170
243.002774 0.006492059745711 -0.023111986480311 -0.020117916449287 0.000669887759950 -0.001534965369554 -0.000182951512994 0.999998580829210
243.993364 0.008541872053929 -0.023673981476870 -0.018800333966945 0.000634129610879 -0.001657845576643 -0.000182799643823 0.999998408004714
244.990992 0.009864844973388 -0.028018534514228 -0.019942783762411 0.000549755274052 -0.001635050485612 -0.000203596187602 0.999998491462677
245.994392 0.008746221419187 -0.022383119549928 -0.019726358244195 0.000478575036944 -0.001639756396740 -0.000167853782059 0.999998526993910
246.992302 0.012128054863933 -0.021906809293781 -0.021785375722858 0.000300380467216 -0.001657834730057 -0.000186905301690 0.999998563209957
248.011050 0.010757506728974 -0.023845893184344 -0.021196666432516 0.000292907938642 -0.001496240864114 -0.000173542685027 0.999998822674878
248.996454 0.008477187795174 -0.026155732843365 -0.020262011486822 0.000348861892666 -0.001628696357662 -0.000139994374356 0.999998603021585
249.976803 0.011650900424983 -0.024417185276267 -0.020317346969553 0.000257084385968 -0.001829921064922 -0.000200338939739 0.999998272578915
250.998819 0.007576538416210 -0.028487803025882 -0.017950586984262 0.000356745147851 -0.001943040449841 -0.000138079372599 0.999998039128471
251.958116 0.009486943547186 -0.028056714740032 -0.019755872162621 0.000312470040556 -0.001708950070064 -0.000128821495318 0.999998482627420
253.010883 0.008751287411370 -0.023071181537240 -0.019158607911938 0.000151372269082 -0.001641656842296 -0.000254236059058 0.999998608705663
254.011340 0.007701360156753 -0.028374787580371 -0.020173443728416 -0.000003380430922 -0.001892830771688 -0.000220577050833 0.999998184261350
255.011056 0.006211650042785 -0.025449467451829 -0.017814638026278 0.000242718751390 -0.001978771796849 -0.000167121017647 0.999997998808167
256.011090 0.010732402411886 -0.026354722349151 -0.018937755660238 0.000262877078499 -0.001868658935140 -0.000259502633074 0.999998185832253
256.999388 0.007006946100824 -0.028288200260736 -0.019473341039113 0.000047402468462 -0.001762197625908 -0.000209574536430 0.999998424244275
257.999346 0.009349947369003 -0.024274950742018 -0.020487043641404 0.000229853249088 -0.001633387554563 -0.000150164263189 0.999998628330689
258.973356 0.009093430596243 -0.028320781846972 -0.019002075980358 0.000096449754171 -0.001781133187277 -0.000111105567498 0.999998402957500
260.011198 0.003583199463508 -0.024033203838831 -0.018046284661243 0.000135465176626 -0.001840814964047 -0.000168153977064 0.999998282385363
260.996051 0.006148381271751 -0.025338503220207 -0.020938350814259 0.000142798100501 -0.001846506286064 -0.000109222575849 0.999998279045344
261.989735 0.010064776535358 -0.027547653763459 -0.021541902899200 0.000069307488383 -0.001897304248631 -0.000159992913493 0.999998184916009
262.997743 0.004874357336626 -0.027833404979175 -0.019723256153245 0.000082972637703 -0.001833011971558 -0.000062916549393 0.999998314610653
264.006914 0.005037040435641 -0.022452019561450 -0.020252099298991 0.000037364945499 -0.001760581488001 -0.000132171557480 0.999998440742460
264.996067 0.007205632331409 -0.025847131584125 -0.020562896014687 -0.000016811973228 -0.001971396215878 -0.000163393565622 0.999998043306510
265.959874 0.005804883171618 -0.027209434222029 -0.019425908301238 -0.000058611560912 -0.001932762755494 -0.000198078985605 0.999998110876975
267.009498 0.008104949741677 -0.021184072570191 -0.021189682621538 -0.000034167590982 -0.001881055788256 -0.000069093542169 0.999998227842311
267.997313 0.008647461118680 -0.022855673944659 -0.020947246043335 -0.000240315521792 -0.001982075401009 -0.000227299712167 0.999997980978152
268.995067 0.003664865819055 -0.027825006605349 -0.019105115222178 0.000011161102763 -0.001914562991829 -0.000161308550266 0.999998154150054
269.997683 0.006010100578078 -0.027862463512206 -0.020467095204520 0.000005710557839 -0.001691538971487 -0.000216555055212 0.999998545882537
271.010041 0.005669941444309 -0.028486417441205 -0.018422737737405 0.000085799550366 -0.001777535104979 -0.000184782003750 0.999998399430209
